file,dorm_group,source_name,source_page,direct_image_url,notes
wora_residence_8_buildings/04_wora_residence_orange_building_studyinkku.webp,Wora Residence / Student Welfare Dormitory (8 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/024m6.jpg?w=300,Building exterior
wora_residence_8_buildings/05_wora_residence_canteen_studyinkku.webp,Wora Residence / Student Welfare Dormitory (8 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/130982211_-ghe82_8tacdiieku7que3wts1ipj1babp3mbt8h5xo.jpg?w=225,Canteen
wora_residence_8_buildings/06_wora_residence_store_drinks_studyinkku.webp,Wora Residence / Student Welfare Dormitory (8 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/329826105_x7jehaad1ngz9psnwfn8gbz2afbpmpuhiwwnarsuzls.jpg?w=225,Convenience store / drinks
wora_residence_8_buildings/07_wora_residence_overview_studyinkku.webp,Wora Residence / Student Welfare Dormitory (8 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/pp_170411_008.jpg?w=300,Overview
wora_residence_8_buildings/08_wora_residence_canteen_tables_studyinkku.webp,Wora Residence / Student Welfare Dormitory (8 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/28739265_sf1pd0ehcl8hkkw5uaibyyzxkq14yt-c5go9opxdm9o.jpg?w=300,Canteen seating
wora_international/01_wora_international_wide_entrance_assetkku.jpg,Wora International Dormitory,Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_02-51-52_847288.jpg,Wide entrance
wora_international/02_wora_international_sign_assetkku.jpg,Wora International Dormitory,Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_04-18-17_231369.jpg,Sign / building
wora_international/03_wora_inter_old_parking_dormkku.jpg,Wora International Dormitory,Official KKU Dormitory Services,https://dorm.kku.ac.th/หอพักวรอินเตอร์/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/14790_677123195635192_1495278043_n-300x224.jpg,Parking / building
wora_international/04_wora_inter_activity_courtyard_dormkku.jpg,Wora International Dormitory,Official KKU Dormitory Services,https://dorm.kku.ac.th/หอพักวรอินเตอร์/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/1175209_697258246955020_313560696_n-300x224.jpg,Courtyard activity
wora_international/05_wora_inter_courtyard_tables_dormkku.jpg,Wora International Dormitory,Official KKU Dormitory Services,https://dorm.kku.ac.th/หอพักวรอินเตอร์/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/1460295_762948123719365_973976420_n-e1603958801587-300x224.jpg,Courtyard tables
wora_international/06_wora_inter_room_green_studyinkku.webp,Wora International Dormitory,Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/images-1.jpg?w=259,Room interior
wora_international/07_wora_inter_room_twin_green_studyinkku.webp,Wora International Dormitory,Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/15327319_1314251108595269_1316141917747364409_n.jpg?w=300,Twin room interior
wora_international/08_wora_inter_room_collage_studyinkku.webp,Wora International Dormitory,Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/dbzfbn5uwaax8eu.jpg?w=300,Room collage
wora_international/09_wora_inter_courtyard_studyinkku.webp,Wora International Dormitory,Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/o38xxqbu52y8aabdtgh-o.jpg?w=300,Courtyard
wora_international/10_wora_inter_courtyard_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj4QrkV0_V2xJAI6qbUUksnX7r6VF9fFH3jRBxbmkf09_XeJNa8_viubNfRCnPCgE10KuL-v3bTVb5StKGnZXxfvfPV4c44UuBkSus_eY6N3U1honPDqpkoHVO5M9hxau0mMeWii6QEe_o/s320/o38xxqbu52Y8aABdtGh-o.jpg,Courtyard
wora_international/11_wora_inter_room_twin_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgU_lWemCInkPDgZ-P218mv8wZuZEGafzaRVlHlSrSoHLJelupqhC7YadZlQMDQAqLoeSVFC-UivqBy1r5uiee-KlDAPw-UlNFRmDOAWhrgDrRnIfCg3YFh11dAkuLHQjwY6bMZMNnvlIo/s640/15327319_1314251108595269_1316141917747364409_n.jpg,Twin room interior
wora_international/12_wora_inter_sink_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjKzPrMwrPM5nziPxRUjlUqdoovdgYSnSik7g6cvzbAbauEHiryJLzZr1OPFVsi4JSEd9Z6P3BusR3L3keCs8-zGLanEbsZFEVvBADlU4DwHyQbBKuBMUQOsJcTIDH4zXl3tvK1ojHcBFI/s320/15420941_1314251135261933_5458662911710751485_n.jpg,Room sink
wora_international/13_wora_inter_study_room_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjX9uFJivShwIx0kGVkpblguwdxmvUSm_pnAU3ZsUcfOapqnEoSpzN-MuCycsbE5gLbLihdsBjgydlr46SZuSDsamMb0EKA9XkA0N1CKRKn8KWxeSh97E1QLjwR9NQFT9izhy2df8M16Po/s320/17203719_1741954892781775_942205071_n.jpg,Study room
wora_international/14_wora_inter_common_area_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg3beoDtWEYiDlcNDssYSUcMIZdo1CPZV6bdk4IieSejFiRB_yU9hRGChI6SvGqZ5GsSFz6I7-6PiKzJXMROHsjEKdYf0E3pZgOLDpdkU21i6HGV-CemXkMXWLAZ3MwiQq9AIIHYlDS9VI/s320/17202843_1741957099448221_3868076289213651794_n%2B%25282%2529.jpg,Common area
wora_international/15_wora_inter_laundry_phanumas.jpg,Wora International Dormitory,Phanumas Diary blog,https://phanumas-diary.blogspot.com/2017/03/blog-post.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjfEWddkJa4ruOH_25_i4qMM3qfXN_kF5OCaqeFuU4cm5K3mhilgY2f5lrAvfqRTEoFi1t1v9QX2zBuWhI4BhdxmqYjgC1wQ3CwU569QztYUUVq7i27rn5r1vfWGbSp88zi4Qv7HW75hq8/s320/17155500_1741957026114895_8376540544464750195_n.jpg,Laundry area
